==========================================
K-Test for Random Sampling Configuration
==========================================
Total experiments: 28
Datasets: cifar10 cifar100
Blocks: ConvNNAttention
K values: 1 2 3 4 5 6 7 8 9 10 11 12 16 25
Learning rate: 1e-4
==========================================

[1/28] Dataset=cifar10 | K=1 | Block=ConvNNAttention
Output: ./Final_Output/K_test_correct_random/ViT-Tiny-CIFAR10/ConvNNAttention_Random_K1_NS32_s42
Files already downloaded and verified
Files already downloaded and verified
Model: VIT ConvNNAttention
Total Parameters: 5481610
Trainable Parameters: 5481610
   - Trainable Parameters: 5.48161000 M
Model Complexity (Profiler):
   - GFLOPs: 2.03378938
   - Trainable Parameters: 5.48161000 M
[Epoch 001] Time: 19.9183s | [Train] Loss: 2.38003699 Accuracy: Top1: 10.0446%, Top5: 49.8390% | [Test] Loss: 2.34667221 Accuracy: Top1: 9.9121%, Top5: 49.8535%
[Epoch 015] Time: 18.1052s | [Train] Loss: 2.30977849 Accuracy: Top1: 10.0538%, Top5: 49.7712% | [Test] Loss: 2.31124719 Accuracy: Top1: 10.2051%, Top5: 50.0000%
[Epoch 016] Time: 18.0083s | [Train] Loss: 2.30993463 Accuracy: Top1: 10.0052%, Top5: 49.8732% | [Test] Loss: 2.30711919 Accuracy: Top1: 9.9121%, Top5: 49.5605%
[Epoch 017] Time: 18.1663s | [Train] Loss: 2.30920952 Accuracy: Top1: 9.9737%, Top5: 50.2268% | [Test] Loss: 2.31004449 Accuracy: Top1: 9.9121%, Top5: 49.4141%
[Epoch 018] Time: 18.0684s | [Train] Loss: 2.30881562 Accuracy: Top1: 10.2013%, Top5: 49.9948% | [Test] Loss: 2.30429265 Accuracy: Top1: 9.7656%, Top5: 50.1465%
[Epoch 019] Time: 18.1188s | [Train] Loss: 2.30944007 Accuracy: Top1: 9.9139%, Top5: 50.0064% | [Test] Loss: 2.31171558 Accuracy: Top1: 10.2051%, Top5: 49.7070%
[Epoch 020] Time: 18.0914s | [Train] Loss: 2.30806201 Accuracy: Top1: 10.0191%, Top5: 50.1559% | [Test] Loss: 2.30372422 Accuracy: Top1: 9.7656%, Top5: 49.8535%
[Epoch 021] Time: 18.1090s | [Train] Loss: 2.30880844 Accuracy: Top1: 9.7405%, Top5: 49.7290% | [Test] Loss: 2.30726628 Accuracy: Top1: 9.7656%, Top5: 49.4141%
[Epoch 022] Time: 18.1617s | [Train] Loss: 2.30826858 Accuracy: Top1: 9.6963%, Top5: 49.2769% | [Test] Loss: 2.30559639 Accuracy: Top1: 10.0586%, Top5: 50.1465%
[Epoch 023] Time: 18.1582s | [Train] Loss: 2.30703551 Accuracy: Top1: 10.0761%, Top5: 50.0478% | [Test] Loss: 2.30675150 Accuracy: Top1: 10.2051%, Top5: 50.0000%
[Epoch 024] Time: 18.1027s | [Train] Loss: 2.30773222 Accuracy: Top1: 9.7983%, Top5: 49.8920% | [Test] Loss: 2.30662498 Accuracy: Top1: 9.7656%, Top5: 50.1465%
[Epoch 025] Time: 17.9682s | [Train] Loss: 2.30726824 Accuracy: Top1: 10.1586%, Top5: 49.6680% | [Test] Loss: 2.30645859 Accuracy: Top1: 9.9121%, Top5: 49.7070%
[Epoch 026] Time: 18.0515s | [Train] Loss: 2.30755603 Accuracy: Top1: 9.9043%, Top5: 49.9111% | [Test] Loss: 2.30579835 Accuracy: Top1: 9.9121%, Top5: 50.2930%
[Epoch 027] Time: 18.0550s | [Train] Loss: 2.30710827 Accuracy: Top1: 9.8083%, Top5: 49.8362% | [Test] Loss: 2.30476792 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 028] Time: 18.0865s | [Train] Loss: 2.30670746 Accuracy: Top1: 10.1638%, Top5: 50.2121% | [Test] Loss: 2.30559820 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 029] Time: 18.1623s | [Train] Loss: 2.30664563 Accuracy: Top1: 10.1088%, Top5: 49.7321% | [Test] Loss: 2.30358894 Accuracy: Top1: 9.9121%, Top5: 50.0000%
[Epoch 030] Time: 18.1036s | [Train] Loss: 2.30722171 Accuracy: Top1: 10.1020%, Top5: 50.2400% | [Test] Loss: 2.30375941 Accuracy: Top1: 10.2051%, Top5: 50.8789%
[Epoch 031] Time: 18.0281s | [Train] Loss: 2.30651607 Accuracy: Top1: 9.8342%, Top5: 49.9669% | [Test] Loss: 2.30579303 Accuracy: Top1: 9.7656%, Top5: 49.7070%
[Epoch 032] Time: 18.0184s | [Train] Loss: 2.30647376 Accuracy: Top1: 10.0438%, Top5: 50.1172% | [Test] Loss: 2.30779788 Accuracy: Top1: 9.9121%, Top5: 50.0000%
[Epoch 033] Time: 18.1577s | [Train] Loss: 2.30657256 Accuracy: Top1: 9.8246%, Top5: 49.5839% | [Test] Loss: 2.30803403 Accuracy: Top1: 9.9121%, Top5: 50.1465%
[Epoch 034] Time: 18.1539s | [Train] Loss: 2.30639335 Accuracy: Top1: 9.8569%, Top5: 49.7808% | [Test] Loss: 2.30610578 Accuracy: Top1: 9.9121%, Top5: 50.2930%
[Epoch 035] Time: 18.2128s | [Train] Loss: 2.30643153 Accuracy: Top1: 10.0179%, Top5: 49.6062% | [Test] Loss: 2.30872425 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 036] Time: 18.0833s | [Train] Loss: 2.30629837 Accuracy: Top1: 9.8908%, Top5: 49.7756% | [Test] Loss: 2.30509722 Accuracy: Top1: 10.2051%, Top5: 50.2930%
[Epoch 037] Time: 18.0611s | [Train] Loss: 2.30608182 Accuracy: Top1: 9.7696%, Top5: 49.4990% | [Test] Loss: 2.30603633 Accuracy: Top1: 10.2051%, Top5: 49.7070%
[Epoch 038] Time: 18.0667s | [Train] Loss: 2.30639598 Accuracy: Top1: 9.8932%, Top5: 49.6456% | [Test] Loss: 2.30706375 Accuracy: Top1: 9.7656%, Top5: 49.7070%
[Epoch 039] Time: 18.0613s | [Train] Loss: 2.30567924 Accuracy: Top1: 9.8804%, Top5: 49.8936% | [Test] Loss: 2.30313755 Accuracy: Top1: 9.7656%, Top5: 50.4395%
[Epoch 040] Time: 18.0794s | [Train] Loss: 2.30549530 Accuracy: Top1: 9.9769%, Top5: 50.0921% | [Test] Loss: 2.30426143 Accuracy: Top1: 10.2051%, Top5: 50.0000%
[Epoch 041] Time: 18.0942s | [Train] Loss: 2.30584374 Accuracy: Top1: 9.8721%, Top5: 49.4463% | [Test] Loss: 2.30403641 Accuracy: Top1: 10.2051%, Top5: 50.2930%
[Epoch 042] Time: 18.0480s | [Train] Loss: 2.30551662 Accuracy: Top1: 9.9781%, Top5: 49.8904% | [Test] Loss: 2.30442763 Accuracy: Top1: 10.0586%, Top5: 50.1465%
[Epoch 043] Time: 18.1589s | [Train] Loss: 2.30519188 Accuracy: Top1: 10.0231%, Top5: 49.9761% | [Test] Loss: 2.30579567 Accuracy: Top1: 9.7656%, Top5: 49.5605%
[Epoch 044] Time: 18.1055s | [Train] Loss: 2.30563055 Accuracy: Top1: 9.8306%, Top5: 49.7541% | [Test] Loss: 2.30483201 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 045] Time: 18.1692s | [Train] Loss: 2.30546046 Accuracy: Top1: 9.9825%, Top5: 49.9075% | [Test] Loss: 2.30567278 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 046] Time: 18.0854s | [Train] Loss: 2.30510405 Accuracy: Top1: 9.9713%, Top5: 49.9235% | [Test] Loss: 2.30398925 Accuracy: Top1: 10.0586%, Top5: 50.5859%
[Epoch 047] Time: 18.1464s | [Train] Loss: 2.30529407 Accuracy: Top1: 9.9067%, Top5: 49.7760% | [Test] Loss: 2.30331414 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 048] Time: 18.1319s | [Train] Loss: 2.30496347 Accuracy: Top1: 9.9486%, Top5: 50.2041% | [Test] Loss: 2.30462753 Accuracy: Top1: 9.7656%, Top5: 50.2930%
[Epoch 049] Time: 18.0539s | [Train] Loss: 2.30523635 Accuracy: Top1: 9.8438%, Top5: 49.9526% | [Test] Loss: 2.30706189 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 050] Time: 18.1885s | [Train] Loss: 2.30535160 Accuracy: Top1: 9.8972%, Top5: 49.7624% | [Test] Loss: 2.30381354 Accuracy: Top1: 10.0586%, Top5: 50.2930%
[Epoch 051] Time: 18.0774s | [Train] Loss: 2.30498258 Accuracy: Top1: 9.7086%, Top5: 49.7692% | [Test] Loss: 2.30349956 Accuracy: Top1: 9.9121%, Top5: 49.7070%
[Epoch 052] Time: 18.0753s | [Train] Loss: 2.30525385 Accuracy: Top1: 9.8505%, Top5: 49.7529% | [Test] Loss: 2.30386484 Accuracy: Top1: 9.7656%, Top5: 49.5605%
[Epoch 053] Time: 18.0126s | [Train] Loss: 2.30494832 Accuracy: Top1: 9.8362%, Top5: 49.7329% | [Test] Loss: 2.30513502 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 054] Time: 18.1058s | [Train] Loss: 2.30506859 Accuracy: Top1: 9.9860%, Top5: 49.7086% | [Test] Loss: 2.30437490 Accuracy: Top1: 10.2051%, Top5: 50.0000%
[Epoch 055] Time: 18.0938s | [Train] Loss: 2.30479702 Accuracy: Top1: 10.2045%, Top5: 49.9287% | [Test] Loss: 2.30635183 Accuracy: Top1: 9.9121%, Top5: 49.1211%
[Epoch 056] Time: 18.1067s | [Train] Loss: 2.30449137 Accuracy: Top1: 10.1020%, Top5: 50.2603% | [Test] Loss: 2.30650888 Accuracy: Top1: 9.9121%, Top5: 49.5605%
[Epoch 057] Time: 18.1602s | [Train] Loss: 2.30456291 Accuracy: Top1: 10.0446%, Top5: 50.1746% | [Test] Loss: 2.30504519 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 058] Time: 18.0626s | [Train] Loss: 2.30460404 Accuracy: Top1: 9.9438%, Top5: 50.0231% | [Test] Loss: 2.30470729 Accuracy: Top1: 10.2051%, Top5: 50.2930%
[Epoch 059] Time: 18.0115s | [Train] Loss: 2.30444756 Accuracy: Top1: 10.0694%, Top5: 50.1124% | [Test] Loss: 2.30345725 Accuracy: Top1: 10.0586%, Top5: 50.1465%
[Epoch 060] Time: 18.1620s | [Train] Loss: 2.30460068 Accuracy: Top1: 9.8366%, Top5: 49.9019% | [Test] Loss: 2.30517281 Accuracy: Top1: 9.9121%, Top5: 49.5605%
[Epoch 061] Time: 18.0849s | [Train] Loss: 2.30455473 Accuracy: Top1: 10.1873%, Top5: 50.0267% | [Test] Loss: 2.30434725 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 062] Time: 18.0992s | [Train] Loss: 2.30476725 Accuracy: Top1: 9.8936%, Top5: 49.9601% | [Test] Loss: 2.30464604 Accuracy: Top1: 10.2051%, Top5: 50.7324%
[Epoch 063] Time: 18.1551s | [Train] Loss: 2.30462436 Accuracy: Top1: 9.9426%, Top5: 50.0674% | [Test] Loss: 2.30442691 Accuracy: Top1: 10.2051%, Top5: 50.4395%
[Epoch 064] Time: 18.0608s | [Train] Loss: 2.30467295 Accuracy: Top1: 9.7680%, Top5: 49.7154% | [Test] Loss: 2.30478802 Accuracy: Top1: 9.9121%, Top5: 49.8535%
[Epoch 065] Time: 18.1394s | [Train] Loss: 2.30439149 Accuracy: Top1: 10.1311%, Top5: 50.3854% | [Test] Loss: 2.30431476 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 066] Time: 18.2520s | [Train] Loss: 2.30461702 Accuracy: Top1: 10.1849%, Top5: 49.6827% | [Test] Loss: 2.30340425 Accuracy: Top1: 10.2051%, Top5: 49.7070%
[Epoch 067] Time: 18.0813s | [Train] Loss: 2.30413798 Accuracy: Top1: 10.2423%, Top5: 50.4468% | [Test] Loss: 2.30415660 Accuracy: Top1: 9.7656%, Top5: 49.8535%
[Epoch 068] Time: 18.1714s | [Train] Loss: 2.30445229 Accuracy: Top1: 9.9781%, Top5: 49.7381% | [Test] Loss: 2.30405955 Accuracy: Top1: 9.9121%, Top5: 49.4141%
[Epoch 069] Time: 18.0920s | [Train] Loss: 2.30408482 Accuracy: Top1: 10.1088%, Top5: 50.0546% | [Test] Loss: 2.30416312 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 070] Time: 18.0956s | [Train] Loss: 2.30437975 Accuracy: Top1: 9.9051%, Top5: 49.7457% | [Test] Loss: 2.30269387 Accuracy: Top1: 10.2051%, Top5: 50.4395%
[Epoch 071] Time: 18.0232s | [Train] Loss: 2.30442483 Accuracy: Top1: 9.8968%, Top5: 49.5436% | [Test] Loss: 2.30436975 Accuracy: Top1: 10.2051%, Top5: 50.0000%
[Epoch 072] Time: 18.0772s | [Train] Loss: 2.30406474 Accuracy: Top1: 9.9410%, Top5: 49.9031% | [Test] Loss: 2.30364177 Accuracy: Top1: 10.2051%, Top5: 50.0000%
[Epoch 073] Time: 18.0318s | [Train] Loss: 2.30424693 Accuracy: Top1: 9.9797%, Top5: 50.1443% | [Test] Loss: 2.30306743 Accuracy: Top1: 9.9121%, Top5: 50.1465%
[Epoch 074] Time: 18.0226s | [Train] Loss: 2.30413958 Accuracy: Top1: 9.9729%, Top5: 50.0371% | [Test] Loss: 2.30348477 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 075] Time: 18.0280s | [Train] Loss: 2.30431075 Accuracy: Top1: 9.7054%, Top5: 49.7106% | [Test] Loss: 2.30378492 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 076] Time: 18.0918s | [Train] Loss: 2.30438825 Accuracy: Top1: 9.8306%, Top5: 49.8047% | [Test] Loss: 2.30320651 Accuracy: Top1: 10.2051%, Top5: 50.4395%
[Epoch 077] Time: 18.0422s | [Train] Loss: 2.30417606 Accuracy: Top1: 9.9179%, Top5: 49.8151% | [Test] Loss: 2.30381970 Accuracy: Top1: 9.9121%, Top5: 49.8535%
[Epoch 078] Time: 18.0463s | [Train] Loss: 2.30378280 Accuracy: Top1: 10.1602%, Top5: 49.8784% | [Test] Loss: 2.30327293 Accuracy: Top1: 10.2051%, Top5: 49.7070%
[Epoch 079] Time: 18.0942s | [Train] Loss: 2.30413313 Accuracy: Top1: 9.9697%, Top5: 49.5843% | [Test] Loss: 2.30364134 Accuracy: Top1: 10.0586%, Top5: 49.7070%
[Epoch 080] Time: 18.0883s | [Train] Loss: 2.30421976 Accuracy: Top1: 9.8565%, Top5: 49.6724% | [Test] Loss: 2.30325700 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 081] Time: 18.0725s | [Train] Loss: 2.30421799 Accuracy: Top1: 9.6879%, Top5: 49.6899% | [Test] Loss: 2.30311374 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 082] Time: 18.1113s | [Train] Loss: 2.30406209 Accuracy: Top1: 10.1586%, Top5: 49.5763% | [Test] Loss: 2.30526515 Accuracy: Top1: 10.2051%, Top5: 50.2930%
[Epoch 083] Time: 18.1248s | [Train] Loss: 2.30427917 Accuracy: Top1: 9.7931%, Top5: 49.6763% | [Test] Loss: 2.30303977 Accuracy: Top1: 10.2051%, Top5: 50.2930%
[Epoch 084] Time: 18.1223s | [Train] Loss: 2.30389382 Accuracy: Top1: 10.2232%, Top5: 50.0331% | [Test] Loss: 2.30523233 Accuracy: Top1: 9.7656%, Top5: 50.1465%
[Epoch 085] Time: 18.0160s | [Train] Loss: 2.30402883 Accuracy: Top1: 9.9000%, Top5: 50.1204% | [Test] Loss: 2.30309619 Accuracy: Top1: 9.7656%, Top5: 49.8535%
[Epoch 086] Time: 18.1455s | [Train] Loss: 2.30399719 Accuracy: Top1: 9.8924%, Top5: 49.9502% | [Test] Loss: 2.30304918 Accuracy: Top1: 9.9121%, Top5: 50.2930%
[Epoch 087] Time: 18.1672s | [Train] Loss: 2.30402176 Accuracy: Top1: 9.8900%, Top5: 49.9470% | [Test] Loss: 2.30306479 Accuracy: Top1: 9.7656%, Top5: 49.7070%
[Epoch 088] Time: 18.0310s | [Train] Loss: 2.30396894 Accuracy: Top1: 9.8724%, Top5: 49.8374% | [Test] Loss: 2.30475250 Accuracy: Top1: 10.2051%, Top5: 50.0000%
[Epoch 089] Time: 18.0946s | [Train] Loss: 2.30401649 Accuracy: Top1: 10.1052%, Top5: 50.2435% | [Test] Loss: 2.30390258 Accuracy: Top1: 9.7656%, Top5: 49.4141%
[Epoch 090] Time: 17.9592s | [Train] Loss: 2.30379756 Accuracy: Top1: 10.0271%, Top5: 49.8043% | [Test] Loss: 2.30443358 Accuracy: Top1: 9.7656%, Top5: 50.1465%
[Epoch 091] Time: 18.1104s | [Train] Loss: 2.30378586 Accuracy: Top1: 9.9111%, Top5: 50.0287% | [Test] Loss: 2.30359497 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 092] Time: 17.9997s | [Train] Loss: 2.30385256 Accuracy: Top1: 9.8190%, Top5: 49.9853% | [Test] Loss: 2.30308062 Accuracy: Top1: 9.9121%, Top5: 50.1465%
[Epoch 093] Time: 18.0561s | [Train] Loss: 2.30394985 Accuracy: Top1: 9.8370%, Top5: 49.3826% | [Test] Loss: 2.30297390 Accuracy: Top1: 10.0586%, Top5: 50.2930%
[Epoch 094] Time: 18.0665s | [Train] Loss: 2.30390559 Accuracy: Top1: 10.1634%, Top5: 49.9657% | [Test] Loss: 2.30403288 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 095] Time: 18.0488s | [Train] Loss: 2.30391224 Accuracy: Top1: 9.7939%, Top5: 49.7951% | [Test] Loss: 2.30473045 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 096] Time: 18.1485s | [Train] Loss: 2.30414750 Accuracy: Top1: 9.8669%, Top5: 49.6329% | [Test] Loss: 2.30288797 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 097] Time: 18.0399s | [Train] Loss: 2.30372805 Accuracy: Top1: 10.0614%, Top5: 49.6923% | [Test] Loss: 2.30461801 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 098] Time: 18.1026s | [Train] Loss: 2.30410721 Accuracy: Top1: 9.9988%, Top5: 49.2203% | [Test] Loss: 2.30304769 Accuracy: Top1: 9.7656%, Top5: 50.1465%
[Epoch 099] Time: 18.0849s | [Train] Loss: 2.30384535 Accuracy: Top1: 9.9027%, Top5: 49.7373% | [Test] Loss: 2.30340004 Accuracy: Top1: 10.2051%, Top5: 50.4395%
[Epoch 100] Time: 18.4146s | [Train] Loss: 2.30382779 Accuracy: Top1: 9.8744%, Top5: 49.8434% | [Test] Loss: 2.30464923 Accuracy: Top1: 9.7656%, Top5: 49.7070%
[Epoch 101] Time: 18.1640s | [Train] Loss: 2.30390829 Accuracy: Top1: 9.9055%, Top5: 49.8230% | [Test] Loss: 2.30437893 Accuracy: Top1: 9.7656%, Top5: 49.7070%
[Epoch 102] Time: 18.1332s | [Train] Loss: 2.30371350 Accuracy: Top1: 10.1068%, Top5: 50.0538% | [Test] Loss: 2.30303403 Accuracy: Top1: 9.9121%, Top5: 50.2930%
[Epoch 103] Time: 18.0955s | [Train] Loss: 2.30373564 Accuracy: Top1: 10.0921%, Top5: 49.6329% | [Test] Loss: 2.30297782 Accuracy: Top1: 10.2051%, Top5: 49.8535%
[Epoch 104] Time: 18.0874s | [Train] Loss: 2.30343247 Accuracy: Top1: 10.0411%, Top5: 49.9302% | [Test] Loss: 2.30295954 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 105] Time: 18.0186s | [Train] Loss: 2.30360502 Accuracy: Top1: 9.9554%, Top5: 49.9318% | [Test] Loss: 2.30449296 Accuracy: Top1: 9.7656%, Top5: 50.1465%
[Epoch 106] Time: 18.0839s | [Train] Loss: 2.30356368 Accuracy: Top1: 9.9908%, Top5: 49.9294% | [Test] Loss: 2.30339577 Accuracy: Top1: 10.2051%, Top5: 49.7070%
[Epoch 107] Time: 18.0619s | [Train] Loss: 2.30368045 Accuracy: Top1: 9.8796%, Top5: 50.0598% | [Test] Loss: 2.30324714 Accuracy: Top1: 10.2051%, Top5: 49.7070%
[Epoch 108] Time: 18.4762s | [Train] Loss: 2.30370299 Accuracy: Top1: 10.0048%, Top5: 49.9135% | [Test] Loss: 2.30377330 Accuracy: Top1: 10.0586%, Top5: 50.0000%
[Epoch 109] Time: 18.0150s | [Train] Loss: 2.30398856 Accuracy: Top1: 9.7871%, Top5: 49.2482% | [Test] Loss: 2.30321282 Accuracy: Top1: 10.2051%, Top5: 49.7070%
[Epoch 110] Time: 18.1189s | [Train] Loss: 2.30362547 Accuracy: Top1: 10.0020%, Top5: 49.8589% | [Test] Loss: 2.30298186 Accuracy: Top1: 10.2051%, Top5: 50.2930%
[Epoch 111] Time: 18.0626s | [Train] Loss: 2.30356231 Accuracy: Top1: 9.9562%, Top5: 50.0399% | [Test] Loss: 2.30396404 Accuracy: Top1: 9.7656%, Top5: 50.0000%
[Epoch 112] Time: 18.1104s | [Train] Loss: 2.30366711 Accuracy: Top1: 9.8880%, Top5: 49.8844% | [Test] Loss: 2.30292857 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 113] Time: 18.0968s | [Train] Loss: 2.30357982 Accuracy: Top1: 10.0710%, Top5: 49.6712% | [Test] Loss: 2.30287204 Accuracy: Top1: 10.0586%, Top5: 49.8535%
[Epoch 114] Time: 18.0927s | [Train] Loss: 2.30371371 Accuracy: Top1: 9.6927%, Top5: 49.7628% | [Test] Loss: 2.30330427 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 115] Time: 18.0996s | [Train] Loss: 2.30344135 Accuracy: Top1: 9.9625%, Top5: 49.8840% | [Test] Loss: 2.30347139 Accuracy: Top1: 10.2051%, Top5: 50.7324%
[Epoch 116] Time: 18.1209s | [Train] Loss: 2.30376728 Accuracy: Top1: 9.8788%, Top5: 49.6142% | [Test] Loss: 2.30415255 Accuracy: Top1: 10.2051%, Top5: 50.4395%
[Epoch 117] Time: 18.0965s | [Train] Loss: 2.30360206 Accuracy: Top1: 10.0753%, Top5: 50.1287% | [Test] Loss: 2.30297276 Accuracy: Top1: 10.2051%, Top5: 50.2930%
[Epoch 118] Time: 18.0860s | [Train] Loss: 2.30374374 Accuracy: Top1: 9.8286%, Top5: 49.7345% | [Test] Loss: 2.30348347 Accuracy: Top1: 9.7656%, Top5: 49.8535%
[Epoch 119] Time: 18.0453s | [Train] Loss: 2.30353203 Accuracy: Top1: 9.9123%, Top5: 49.8928% | [Test] Loss: 2.30454322 Accuracy: Top1: 9.7656%, Top5: 49.8535%
[Epoch 120] Time: 18.0935s | [Train] Loss: 2.30355933 Accuracy: Top1: 9.8541%, Top5: 50.0817% | [Test] Loss: 2.30330386 Accuracy: Top1: 9.7656%, Top5: 50.1465%
[Epoch 121] Time: 18.0926s | [Train] Loss: 2.30374590 Accuracy: Top1: 9.9027%, Top5: 49.5763% | [Test] Loss: 2.30328712 Accuracy: Top1: 9.7656%, Top5: 49.8535%
[Epoch 122] Time: 18.0869s | [Train] Loss: 2.30346620 Accuracy: Top1: 9.9171%, Top5: 49.8414% | [Test] Loss: 2.30494228 Accuracy: Top1: 9.7656%, Top5: 50.1465%
[Epoch 123] Time: 18.0415s | [Train] Loss: 2.30358468 Accuracy: Top1: 9.8649%, Top5: 49.8075% | [Test] Loss: 2.30374892 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 124] Time: 18.1593s | [Train] Loss: 2.30343054 Accuracy: Top1: 9.7995%, Top5: 49.6154% | [Test] Loss: 2.30298012 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 125] Time: 18.1321s | [Train] Loss: 2.30351002 Accuracy: Top1: 9.8441%, Top5: 49.7716% | [Test] Loss: 2.30317220 Accuracy: Top1: 9.9121%, Top5: 49.5605%
[Epoch 126] Time: 18.1517s | [Train] Loss: 2.30337469 Accuracy: Top1: 9.9450%, Top5: 49.9593% | [Test] Loss: 2.30319417 Accuracy: Top1: 10.2051%, Top5: 50.1465%
[Epoch 127] Time: 18.0420s | [Train] Loss: 2.30342786 Accuracy: Top1: 10.0622%, Top5: 49.6636% | [Test] Loss: 2.30288456 Accuracy: Top1: 10.2051%, Top5: 49.7070%
